date,hour,depth,value,variable
2020-09-02,NA,3.0,24.380695902777777,temperature
2020-09-02,NA,4.0,23.894598402777778,temperature
2020-09-02,NA,5.0,19.20921625,temperature
2020-09-02,NA,6.0,14.978464375,temperature
2020-09-02,NA,7.0,12.805866875,temperature
2020-09-02,NA,8.0,11.479304583333333,temperature
2020-09-03,NA,1.0,26.732024652777778,temperature
2020-09-03,NA,2.0,25.551298194444445,temperature
2020-09-03,NA,3.0,24.561362430555555,temperature
2020-09-03,NA,4.0,23.83786715277778,temperature
2020-09-03,NA,5.0,19.3462225,temperature
2020-09-03,NA,6.0,15.04363625,temperature
2020-09-03,NA,7.0,12.863598472222222,temperature
2020-09-03,NA,8.0,11.467185416666666,temperature
2020-09-04,NA,1.0,26.563502708333335,temperature
2020-09-04,NA,2.0,26.274139305555554,temperature
2020-09-04,NA,3.0,24.846190069444447,temperature
2020-09-04,NA,4.0,23.76762576388889,temperature
2020-09-04,NA,5.0,19.42557097222222,temperature
2020-09-04,NA,6.0,15.095115,temperature
2020-09-04,NA,7.0,12.830151666666668,temperature
2020-09-04,NA,8.0,11.453262569444444,temperature
2020-09-05,NA,1.0,26.19235861111111,temperature
2020-09-05,NA,2.0,25.85376486111111,temperature
2020-09-05,NA,3.0,25.21570597222222,temperature
2020-09-05,NA,4.0,23.812885972222222,temperature
2020-09-05,NA,5.0,19.36522097222222,temperature
2020-09-05,NA,6.0,15.182654097222223,temperature
2020-09-05,NA,7.0,12.8960775,temperature
2020-09-05,NA,8.0,11.474485555555555,temperature
2020-09-06,NA,1.0,25.372715069444446,temperature
2020-09-06,NA,2.0,24.95309347222222,temperature
2020-09-06,NA,3.0,24.577460208333335,temperature
2020-09-06,NA,4.0,23.775530833333335,temperature
2020-09-06,NA,5.0,19.566916527777778,temperature
2020-09-06,NA,6.0,15.134766388888888,temperature
2020-09-06,NA,7.0,12.878914861111111,temperature
2020-09-06,NA,8.0,11.494866041666667,temperature
2020-09-07,NA,1.0,24.87609388888889,temperature
2020-09-07,NA,2.0,24.569653333333335,temperature
2020-09-07,NA,3.0,24.293196458333334,temperature
2020-09-07,NA,4.0,23.778158402777777,temperature
2020-09-07,NA,5.0,19.47201215277778,temperature
2020-09-07,NA,6.0,15.19724,temperature
2020-09-07,NA,7.0,12.88887,temperature
2020-09-07,NA,8.0,11.493379583333333,temperature
2020-09-08,NA,1.0,24.927043194444444,temperature
2020-09-08,NA,2.0,24.63177048611111,temperature
2020-09-08,NA,3.0,24.25823375,temperature
2020-09-08,NA,4.0,23.60416548611111,temperature
2020-09-08,NA,5.0,19.654721527777777,temperature
2020-09-08,NA,6.0,15.229370069444444,temperature
2020-09-08,NA,7.0,12.93178576388889,temperature
2020-09-08,NA,8.0,11.484030833333334,temperature
2020-09-09,NA,1.0,24.93612076388889,temperature
2020-09-09,NA,2.0,24.751884166666667,temperature
2020-09-09,NA,3.0,24.359269791666666,temperature
2020-09-09,NA,4.0,23.520600277777778,temperature
2020-09-09,NA,5.0,19.750640347222223,temperature
2020-09-09,NA,6.0,15.256749722222223,temperature
2020-09-09,NA,7.0,12.932662013888889,temperature
2020-09-09,NA,8.0,11.500960277777779,temperature
2020-09-10,NA,1.0,25.197627222222224,temperature
2020-09-10,NA,2.0,24.79667583333333,temperature
2020-09-10,NA,3.0,24.410140416666668,temperature
2020-09-10,NA,4.0,23.56312625,temperature
2020-09-10,NA,5.0,19.594284444444444,temperature
2020-09-10,NA,6.0,15.272073541666666,temperature
2020-09-10,NA,7.0,12.886285833333334,temperature
2020-09-10,NA,8.0,11.502537986111111,temperature
2020-09-11,NA,1.0,25.79049375,temperature
2020-09-11,NA,2.0,25.05991159722222,temperature
2020-09-11,NA,3.0,24.402695277777777,temperature
2020-09-11,NA,4.0,23.581945069444444,temperature
2020-09-11,NA,5.0,19.74098645833333,temperature
2020-09-11,NA,6.0,15.248689930555555,temperature
2020-09-11,NA,7.0,12.93345986111111,temperature
2020-09-11,NA,8.0,11.483482361111111,temperature
2020-09-12,NA,1.0,24.448976458333334,temperature
2020-09-12,NA,2.0,24.329905347222223,temperature
2020-09-12,NA,3.0,24.147764513888887,temperature
2020-09-12,NA,4.0,23.498927986111113,temperature
2020-09-12,NA,5.0,19.647578680555554,temperature
2020-09-12,NA,6.0,15.3829525,temperature
2020-09-12,NA,7.0,12.958843819444445,temperature
2020-09-12,NA,8.0,11.466505833333333,temperature
2020-09-13,NA,1.0,24.21890388888889,temperature
2020-09-13,NA,2.0,23.750815416666665,temperature
2020-09-13,NA,3.0,23.61447104166667,temperature
2020-09-13,NA,4.0,23.287828680555556,temperature
2020-09-13,NA,5.0,19.712751944444445,temperature
2020-09-13,NA,6.0,15.326729513888889,temperature
2020-09-13,NA,7.0,12.960156319444444,temperature
2020-09-13,NA,8.0,11.520393541666667,temperature
2020-09-14,NA,1.0,24.590669166666668,temperature
2020-09-14,NA,2.0,24.299715625,temperature
2020-09-14,NA,3.0,23.947709305555556,temperature
2020-09-14,NA,4.0,23.48431298611111,temperature
2020-09-14,NA,5.0,19.873469583333332,temperature
2020-09-14,NA,6.0,15.349855555555555,temperature
2020-09-14,NA,7.0,12.949415208333333,temperature
2020-09-14,NA,8.0,11.515361944444445,temperature
2020-09-15,NA,1.0,24.12723326388889,temperature
2020-09-15,NA,2.0,23.91410513888889,temperature
2020-09-15,NA,3.0,23.672760277777776,temperature
2020-09-15,NA,4.0,23.24631159722222,temperature
2020-09-15,NA,5.0,19.77939465277778,temperature
2020-09-15,NA,6.0,15.434215902777778,temperature
2020-09-15,NA,7.0,12.988034444444445,temperature
2020-09-15,NA,8.0,11.555474652777779,temperature
2020-09-16,NA,1.0,22.930948768115943,temperature
2020-09-16,NA,2.0,22.859268405797103,temperature
2020-09-16,NA,3.0,22.826853949275364,temperature
2020-09-16,NA,4.0,22.7006315942029,temperature
2020-09-16,NA,5.0,19.977492210144927,temperature
2020-09-16,NA,6.0,15.438923949275363,temperature
2020-09-16,NA,7.0,12.974490362318841,temperature
2020-09-16,NA,8.0,11.533458188405797,temperature
2020-09-17,NA,1.0,22.086748611111112,temperature
2020-09-17,NA,2.0,22.086523958333334,temperature
2020-09-17,NA,3.0,22.08083375,temperature
2020-09-17,NA,4.0,22.02836472222222,temperature
2020-09-17,NA,5.0,20.078667638888888,temperature
2020-09-17,NA,6.0,15.495707847222222,temperature
2020-09-17,NA,7.0,12.991795208333334,temperature
2020-09-17,NA,8.0,11.528906597222223,temperature
2020-09-18,NA,1.0,21.870505714285713,temperature
2020-09-18,NA,2.0,21.85145345238095,temperature
2020-09-18,NA,3.0,21.711960753968253,temperature
2020-09-18,NA,4.0,21.46966964285714,temperature
2020-09-18,NA,5.0,20.57692238095238,temperature
2020-09-18,NA,6.0,15.610807936507937,temperature
2020-09-18,NA,7.0,12.957467698412698,temperature
2020-09-18,NA,8.0,11.488640952380953,temperature
2020-09-19,NA,1.0,21.759055555555555,temperature
2020-09-19,NA,2.0,21.626092361111112,temperature
